zip,state,CO2
00002,AK,450
00006,AK,1260
00007,AK,450
00010,AK,450
00011,AK,1260
00012,CA,613
00014,AZ,1183
00015,AZ,1183
00016,CA,613
00017,CA,613
00018,CA,613
00019,CA,613
00020,CA,613
00022,CA,613
00026,CA,613
00027,CO,1906
00028,CA,613
00029,CA,613
00031,CA,613
00032,CA,613
00033,CA,847
00034,CA,847
00035,CA,847
00037,CA,613
00038,CA,613
00039,CA,613
00040,CA,613
00041,FL,1202
00042,FL,1202
00043,FL,1202
00044,CA,613
00045,FL,1202
00047,CA,613
00048,CA,613
00049,CA,847
00050,CA,613
00051,CA,613
00052,CA,613
00053,FL,1202
00054,CA,613
00055,CA,613
00056,ID,847
00058,CA,613
00059,MN,1545
00060,MN,1545
00063,MT,847
00064,NM,1183
00065,CA,613
00066,NM,1183
00067,OK,1588
00068,OR,847
00069,OR,847
00070,OR,847
00071,UT,847
00072,WA,847
00073,WA,847
00074,WA,847
00076,WA,847
00077,OR,847
00084,NC,1080
00087,FL,1202
00097,FL,1202
00098,FL,1202
00100,UT,847
00116,LA,1034
00119,LA,1034
00121,LA,1034
00127,ME,728
00130,ME,728
00134,ME,728
00135,ME,728
00137,ME,728
00138,ME,728
00139,ME,728
00141,ME,728
00151,ME,728
00152,MD,1007
00158,MA,728
00160,MN,1545
00161,MN,1545
00164,MN,1545
00165,MN,1545
00166,MN,1545
00168,NH,728
00172,NH,728
00173,NH,728
00174,NH,728
00176,NH,728
00177,NH,728
00179,NH,728
00180,NH,728
00181,NH,728
00182,NH,728
00183,NH,728
00184,NH,728
00185,NH,728
00188,TX,1223
00195,WA,847
00197,AZ,1183
00198,AK,1260
00199,AZ,1183
00501,NY,1341
00544,NY,1341
01001,MA,728
01002,MA,728
01003,MA,728
01004,MA,728
01005,MA,728
01007,MA,728
01008,MA,728
01009,MA,728
01010,MA,728
01011,MA,728
01012,MA,728
01013,MA,728
01014,MA,728
01020,MA,728
01021,MA,728
01022,MA,728
01026,MA,728
01027,MA,728
01028,MA,728
01029,MA,728
01030,MA,728
01031,MA,728
01032,MA,728
01033,MA,728
01034,MA,728
01035,MA,728
01036,MA,728
01037,MA,728
01038,MA,728
01039,MA,728
01040,MA,728
01041,MA,728
01050,MA,728
01053,MA,728
01054,MA,728
01056,MA,728
01057,MA,728
01059,MA,728
01060,MA,728
01061,MA,728
01062,MA,728
01063,MA,728
01066,MA,728
01068,MA,728
01069,MA,728
01070,MA,728
01071,MA,728
01072,MA,728
01073,MA,728
01074,MA,728
01075,MA,728
01077,MA,728
01079,MA,728
01080,MA,728
01081,MA,728
01082,MA,728
01083,MA,728
01084,MA,728
01085,MA,728
01086,MA,728
01088,MA,728
01089,MA,728
01090,MA,728
01092,MA,728
01093,MA,728
01094,MA,728
01095,MA,728
01096,MA,728
01097,MA,728
01098,MA,728
01101,MA,728
01102,MA,728
01103,MA,728
01104,MA,728
01105,MA,728
01106,MA,728
01107,MA,728
01108,MA,728
01109,MA,728
01111,MA,728
01115,MA,728
01116,MA,728
01118,MA,728
01119,MA,728
01128,MA,728
01129,MA,728
01138,MA,728
01139,MA,728
01144,MA,728
01151,MA,728
01152,MA,728
01199,MA,728
01201,MA,728
01202,MA,728
01203,MA,728
01220,MA,728
01222,MA,728
01223,MA,728
01224,MA,728
01225,MA,728
01226,MA,728
01227,MA,728
01229,MA,728
01230,MA,728
01235,MA,728
01236,MA,728
01237,MA,728
01238,MA,728
01240,MA,728
01242,MA,728
01243,MA,728
01244,MA,728
01245,MA,728
01247,MA,728
01252,MA,728
01253,MA,728
01254,MA,728
01255,MA,728
01256,MA,728
01257,MA,728
01258,MA,728
01259,MA,728
01260,MA,728
01262,MA,728
01263,MA,728
01264,MA,728
01266,MA,728
01267,MA,728
01270,MA,728
01301,MA,728
01302,MA,728
01330,MA,728
01331,MA,728
01337,MA,728
01338,MA,728
01339,MA,728
01340,MA,728
01341,MA,728
01342,MA,728
01343,MA,728
01344,MA,728
01346,MA,728
01347,MA,728
01349,MA,728
01350,MA,728
01351,MA,728
01354,MA,728
01355,MA,728
01360,MA,728
01364,MA,728
01366,MA,728
01367,MA,728
01368,MA,728
01370,MA,728
01373,MA,728
01375,MA,728
01376,MA,728
01378,MA,728
01379,MA,728
01380,MA,728
01420,MA,728
01430,MA,728
01431,MA,728
01432,MA,728
01434,MA,728
01436,MA,728
01438,MA,728
01440,MA,728
01441,MA,728
01450,MA,728
01451,MA,728
01452,MA,728
01453,MA,728
01460,MA,728
01462,MA,728
01463,MA,728
01464,MA,728
01467,MA,728
01468,MA,728
01469,MA,728
01470,MA,728
01471,MA,728
01472,MA,728
01473,MA,728
01474,MA,728
01475,MA,728
01477,MA,728
01501,MA,728
01503,MA,728
01504,MA,728
01505,MA,728
01506,MA,728
01507,MA,728
01508,MA,728
01509,MA,728
01510,MA,728
01515,MA,728
01516,MA,728
01517,MA,728
01518,MA,728
01519,MA,728
01520,MA,728
01521,MA,728
01522,MA,728
01523,MA,728
01524,MA,728
01525,MA,728
01526,MA,728
01527,MA,728
01529,MA,728
01531,MA,728
01532,MA,728
01534,MA,728
